method	run	support
mascot	1	0.999993
mascot	1	0.999899
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.999997
mascot	1	0.999998
mascot	1	0.999975
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.940446
mascot	1	0.999743
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.999999
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.999528
mascot	1	0.999999
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.959423
mascot	1	0.999992
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.290568
mascot	1	0.947667
mascot	1	0.988760
mascot	1	0.999996
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.999871
mascot	1	0.999987
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.999963
mascot	1	0.999999
mascot	1	0.999986
mascot	1	0.973884
mascot	1	0.999931
mascot	1	0.946772
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.999008
mascot	1	0.999999
mascot	1	1.000000
mascot	1	0.080094
mascot	1	0.999970
mascot	1	0.999991
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	1.000000
mascot	1	0.999990
mascot	1	0.999789
mascot	1	0.999763
mascot	1	0.999471
mascot	1	0.999547
mascot	1	0.999821
mascot	1	0.248859
mascot	1	0.964633
mascot	1	0.965021
mascot	1	0.902177
mascot	1	0.879177
mascot	1	0.579496
mascot	1	0.957043
mascot	1	0.939617
mascot	1	0.530501
mascot	1	0.998628
mascot	1	0.999787
mascot	1	0.997065
mascot	1	0.997607
mascot	1	0.998348
mascot	1	0.909354
mascot	1	0.915788
mascot	1	0.849334
mascot	1	0.999970
mascot	1	0.999929
mascot	1	0.999811
mascot	1	0.999962
mascot	1	0.999901
mascot	1	0.997954
mascot	1	0.110937
mascot	1	0.973022
mascot	1	0.978589
mascot	1	0.912408
mascot	1	0.993438
mascot	1	0.998772
mascot	1	0.998609
mascot	1	0.910839
mascot	1	0.900903
mascot	1	0.894209
mascot	1	0.886499
mascot	1	0.623809
mascot	1	0.626641
mascot	1	0.998624
mascot	1	0.878639
mascot	1	0.875301
mascot	1	0.727852
mascot	1	0.730216
mascot	1	0.682191
mascot	1	0.992329
mascot	1	0.895413
mascot	1	0.873029
mascot	1	0.872669
mascot	1	0.865283
mascot	1	0.999920
mascot	1	0.999858
mascot	1	0.999983
mascot	1	0.999436
mascot	1	0.997075
mascot	1	0.993272
mascot	1	0.993279
mascot	1	0.999742
mascot	1	0.999610
mascot	1	0.999773
mascot	1	0.999207
mascot	1	0.989346
mascot	1	0.973065
mascot	1	0.963819
mascot	1	0.856924
mascot	1	0.994526
mascot	1	0.859668
mascot	1	0.858696
mascot	1	0.953467
mascot	1	0.550265
mascot	1	0.152506
mascot	1	0.980798
mascot	1	0.978070
mascot	1	0.997579
mascot	1	0.972773
mascot	1	0.972463
mascot	1	0.930472
mascot	1	0.880106
mascot	1	0.999470
mascot	1	0.875167
mascot	1	0.997418
mascot	1	0.999472
mascot	1	0.999995
mascot	1	0.999990
mascot	1	0.960903
mascot	1	0.999999
mascot	1	0.998735
mascot	1	0.859163
mascot	1	0.999069
mascot	1	0.557217
mascot	1	0.598585
mascot	1	0.998266
mascot	1	0.992224
mascot	1	0.992577
mascot	1	0.980456
mascot	1	0.814024
mascot	1	0.836170
mascot	1	0.834607
mascot	1	0.896519
mascot	1	0.887982
mascot	1	0.834165
mascot	1	0.989551
mascot	1	0.676105
mascot	1	0.966645
mascot	1	0.985876
mascot	1	0.930151
mascot	1	0.815108
mascot	1	0.813651
mascot	1	0.813599
mascot	1	0.999999
mascot	1	0.999494
mascot	1	0.999953
mascot	1	0.999978
mascot	1	0.999994
mascot	1	0.999979
mascot	1	0.998990
mascot	1	0.981166
mascot	1	0.997954
mascot	1	0.999520
mascot	1	0.996661
mascot	1	0.783246
mascot	1	0.999683
mascot	1	0.999633
mascot	1	0.996224
mascot	1	0.989883
mascot	1	0.995333
mascot	1	0.936657
mascot	1	0.996514
mascot	1	0.989079
mascot	1	0.855823
mascot	1	0.815401
mascot	1	0.812998
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.983017
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.983017
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.944056
dta	1	0.509491
dta	1	0.895105
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.948052
dta	1	1.000000
dta	1	0.392607
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.688312
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.993007
dta	1	0.994006
dta	1	0.537463
dta	1	0.700300
dta	1	0.702298
dta	1	0.699301
dta	1	0.982018
dta	1	0.982018
dta	1	1.000000
dta	1	1.000000
dta	1	0.021978
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.930070
dta	1	0.999001
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.997003
dta	1	0.549451
dta	1	0.986014
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.973027
dta	1	0.980020
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.193806
dta	1	0.193806
dta	1	0.097902
dta	1	0.999001
dta	1	0.998002
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.996004
dta	1	0.998002
dta	1	0.995005
dta	1	0.955045
dta	1	0.740260
dta	1	0.740260
dta	1	0.754246
dta	1	0.991009
dta	1	0.942058
dta	1	0.943057
dta	1	0.924076
dta	1	0.724276
dta	1	0.757243
dta	1	0.743257
dta	1	0.999001
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.904096
dta	1	0.021978
dta	1	0.000000
dta	1	0.997003
dta	1	0.999001
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.970030
dta	1	0.998002
dta	1	1.000000
dta	1	1.000000
dta	1	0.997003
dta	1	1.000000
dta	1	0.999001
dta	1	0.989011
dta	1	0.988012
dta	1	0.376623
dta	1	0.377622
dta	1	0.998002
dta	1	0.985015
dta	1	0.985015
dta	1	0.980020
dta	1	0.767233
dta	1	0.997003
dta	1	0.999001
dta	1	0.656344
dta	1	0.656344
dta	1	0.999001
dta	1	0.991009
dta	1	0.492507
dta	1	0.972028
dta	1	0.978022
dta	1	0.965035
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.999001
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.999001
dta	1	0.994006
dta	1	0.961039
dta	1	0.999001
dta	1	0.997003
dta	1	0.976024
dta	1	0.946054
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	0.998002
dta	1	0.999001
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
dta	1	1.000000
mascot	10	0.999998
mascot	10	0.999560
mascot	10	0.998716
mascot	10	0.996988
mascot	10	0.999994
mascot	10	1.000000
mascot	10	0.211897
mascot	10	0.212325
mascot	10	0.993665
mascot	10	0.999857
mascot	10	1.000000
mascot	10	0.999994
mascot	10	1.000000
mascot	10	1.000000
mascot	10	0.999181
mascot	10	1.000000
mascot	10	1.000000
mascot	10	0.999994
mascot	10	0.999958
mascot	10	0.999999
mascot	10	0.999998
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	0.997730
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	0.999285
mascot	10	0.999792
mascot	10	1.000000
mascot	10	0.998764
mascot	10	0.999704
mascot	10	0.998131
mascot	10	1.000000
mascot	10	0.983723
mascot	10	0.996195
mascot	10	1.000000
mascot	10	0.998977
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	0.999983
mascot	10	0.999353
mascot	10	1.000000
mascot	10	0.999983
mascot	10	0.993037
mascot	10	0.994978
mascot	10	0.999990
mascot	10	1.000000
mascot	10	0.999999
mascot	10	0.998352
mascot	10	0.999999
mascot	10	0.999989
mascot	10	0.993657
mascot	10	0.880475
mascot	10	0.999998
mascot	10	0.999520
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	0.999991
mascot	10	0.987524
mascot	10	0.991232
mascot	10	0.999042
mascot	10	0.998367
mascot	10	0.999998
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	1.000000
mascot	10	0.999751
mascot	10	0.984842
mascot	10	0.987317
mascot	10	0.997675
