run	f_migrationRatesSkyline.state0_to_state1	f_migrationRatesSkyline.state0_to_state2	f_migrationRatesSkyline.state1_to_state0	f_migrationRatesSkyline.state1_to_state2	f_migrationRatesSkyline.state2_to_state0	f_migrationRatesSkyline.state2_to_state1
1	1.890080	17.988326	3.091899	1.998900	4.347101	0.649875
1	0.215114	5.767735	11.596275	1.880739	4.324334	1.841735
1	6.629824	2.774605	1.936882	9.595854	7.764624	14.653231
1	4.610578	5.281129	9.856476	1.432999	1.069734	0.376266
1	2.778422	5.594408	7.197907	3.202222	0.508063	2.413257
2	10.426455	17.823321	0.400497	7.007831	1.701725	18.207883
2	2.932775	10.545651	0.733565	15.555505	1.457636	14.073918
3	3.528430	9.264195	0.831284	19.929370	7.138754	0.937791
3	1.420074	1.086090	2.312420	8.214087	7.799097	6.729312
4	2.219214	2.518336	2.929064	2.993296	0.440844	3.607829
5	5.324872	0.645808	10.162910	0.843665	1.056750	2.706302
6	2.454860	1.935164	8.463820	0.424513	1.191735	4.335198
6	1.996505	4.448106	0.728139	4.562993	5.655455	4.810329
7	1.102229	3.279145	0.783866	1.301087	3.195998	1.552076
8	2.616922	0.473556	5.318561	6.791095	7.457387	0.437027
9	2.122190	7.524283	2.375634	3.275869	3.043937	1.428235
9	1.305274	6.792048	1.118123	2.291930	16.823669	6.741172
10	1.467581	0.740492	18.206437	1.835952	9.150573	5.018196
10	2.609159	1.439355	6.064540	3.355544	17.948609	4.824568
10	5.358088	0.967864	1.806281	2.338063	1.331486	4.234187
10	0.500836	10.371618	1.095986	2.402181	4.551636	1.281729
10	4.570544	10.623992	1.561237	1.037516	0.475438	8.759901
10	18.006683	0.757084	1.664243	2.912355	0.576948	5.604446
11	7.394235	5.785818	0.846060	8.721540	0.415786	7.407209
11	1.011590	0.518129	2.804319	2.590863	0.016259	0.121519
11	1.572929	9.914742	5.206350	22.600133	3.545653	3.910931
11	1.053675	1.878501	18.879789	4.000915	3.278464	1.983990
12	6.196226	1.067833	8.172818	5.198866	1.456304	4.246230
13	7.860093	2.953994	12.595657	5.945126	7.311509	1.703203
13	7.785831	2.245371	2.201093	2.578125	1.409786	1.445560
13	7.888387	6.705658	3.524922	5.149235	10.118667	3.387140
14	8.670783	0.752737	1.377476	2.908889	1.622317	19.616659
14	4.558184	1.275128	1.434250	0.546750	2.445229	28.861070
15	1.965423	5.779634	4.262495	2.335195	5.310937	3.804499
15	3.290251	6.898796	2.781973	1.778191	0.294704	0.824731
16	0.549242	4.354460	10.036959	1.902900	0.374431	0.773323
17	8.579709	4.474637	4.501067	7.106112	2.171093	8.783759
18	6.099007	0.781185	6.571727	0.591742	1.064246	3.588004
18	9.668999	1.866219	8.722386	6.864008	5.365412	1.788323
19	4.232281	5.358285	8.465363	6.699337	3.851879	9.115917
19	2.238262	4.242723	2.191861	2.560217	9.428432	3.789326
20	4.856632	5.388474	1.758300	1.145172	2.013922	1.458418
20	0.465956	2.931277	5.178852	4.886003	7.021911	0.252503
20	9.751857	4.005011	9.459521	0.605203	4.979377	3.701058
21	8.259751	7.641791	4.591231	20.457068	1.134740	6.184237
21	13.272539	0.324015	0.426381	3.571191	16.128406	5.261019
22	3.214153	0.250493	4.759538	1.038152	2.797086	0.672654
22	5.668678	1.999776	7.785069	4.214368	15.913313	1.827458
23	0.973977	7.239320	0.678708	13.795919	2.106436	14.888245
24	4.166704	1.897393	5.323064	13.673646	0.538757	0.304975
24	13.710860	0.954425	0.680896	0.629117	4.317710	7.963375
24	0.185566	2.562591	0.842848	2.424942	2.535964	2.590719
24	1.633478	2.639658	5.681783	16.611703	10.479694	10.328257
24	2.684588	0.146715	4.948952	1.417981	7.043763	13.159112
24	8.667107	1.019911	0.504060	2.442664	7.267116	5.688356
24	1.608492	4.237994	18.350046	0.726943	1.577681	0.851012
24	5.330640	0.825623	0.813954	0.980991	2.023936	2.267731
25	0.045629	4.645838	2.274442	3.865503	4.410415	9.511131
25	5.868085	9.641209	0.585802	7.962073	2.694357	7.400878
26	8.280815	1.477658	6.060450	2.633754	1.659250	0.889669
27	1.494020	23.907700	12.669965	1.940261	5.972451	1.984427
27	5.025837	4.671981	11.501207	4.670072	3.108720	0.210351
28	0.738924	13.182583	1.779569	0.107790	0.359845	6.675364
29	5.134995	2.580125	1.874899	0.103105	2.885795	0.332108
30	0.421054	0.913799	12.969272	0.548832	6.422184	2.556292
31	18.262585	17.708131	0.465963	0.612636	1.603489	6.341645
31	1.281458	8.439550	2.510875	3.204179	0.048201	12.095695
31	6.396384	10.980071	0.237151	1.384953	3.701708	2.205270
31	5.319375	12.398106	2.294369	8.999407	7.788304	4.055734
32	15.452177	6.109122	22.940358	6.553065	3.564757	2.231634
32	2.976188	8.428420	6.301931	0.270297	6.461575	4.081083
32	1.881157	0.983441	4.689738	7.326935	7.131995	8.645909
32	5.671485	7.034922	1.968927	6.149638	2.975850	9.628097
32	1.067335	2.918547	0.705007	3.404797	2.005026	3.950164
32	7.469543	2.030916	12.412495	11.136743	2.397161	2.826827
33	2.597254	1.331636	5.785172	0.303990	2.505232	6.840293
34	5.829952	2.147524	2.154675	0.835857	16.487557	2.492494
34	0.522681	2.958067	1.837853	12.337191	10.644279	0.273988
34	2.346536	4.955783	1.684866	6.106936	5.541563	2.146170
34	2.660076	11.256489	1.373333	8.780201	0.510519	10.240645
35	6.776053	0.073310	3.898421	17.110492	0.359390	2.397284
36	17.834615	4.696278	4.582130	7.698047	0.069243	0.358259
36	2.225130	0.416661	3.829798	0.379865	1.542248	14.868787
36	3.196880	7.557155	11.000348	15.638152	2.172773	8.092413
36	0.260339	5.225951	2.948276	0.427635	0.665350	1.448285
37	22.288240	6.088076	1.061541	1.519088	0.524914	7.229756
37	2.334713	2.371564	11.082265	7.311674	3.045984	0.450478
37	1.762478	0.478107	4.483053	9.462653	0.669099	2.848173
38	2.276318	3.955152	3.556469	3.215013	1.327240	2.025257
39	21.144389	1.323582	1.069895	12.553179	0.154678	10.711825
40	0.826018	4.269815	14.735571	2.537424	2.910924	12.930654
40	0.816295	5.210980	7.589907	2.395083	4.233815	0.333798
41	6.708121	3.696605	2.180524	3.802209	7.925626	3.064300
42	15.582538	3.375167	8.705353	9.449910	5.377212	0.182157
42	0.939287	2.749757	4.020303	0.665436	8.460633	0.273716
43	0.678620	1.905052	6.502403	1.492271	2.564231	0.213553
