run	f_migrationRatesSkyline.state0_to_state1	f_migrationRatesSkyline.state0_to_state2	f_migrationRatesSkyline.state1_to_state0	f_migrationRatesSkyline.state1_to_state2	f_migrationRatesSkyline.state2_to_state0	f_migrationRatesSkyline.state2_to_state1
1	0.378016	3.597665	0.618380	0.399780	0.869420	0.129975
1	0.472130	1.309600	0.320208	0.109942	0.124083	1.052975
1	0.033271	1.377034	4.377558	0.295948	2.631446	1.593106
1	1.102429	1.064974	4.198440	0.061761	1.736157	0.211350
2	0.260217	1.070932	0.310415	2.685174	0.655829	0.764192
2	1.944870	0.025584	0.009574	0.451607	1.203145	0.613303
3	0.798315	0.219197	0.291772	0.910327	0.793178	0.746540
3	1.481442	0.499071	1.478847	0.882889	2.436320	1.744308
3	0.151616	0.394973	5.251465	0.547317	0.724786	0.432085
4	0.100228	0.704984	1.203703	2.023733	2.524434	0.633563
4	0.760900	0.130837	0.393085	0.803656	1.507414	0.467039
4	0.025090	0.452076	1.421222	0.980587	0.899134	0.017664
4	0.398095	0.753773	1.214201	0.013518	0.151229	2.081433
4	0.995875	0.740212	0.637649	0.801002	1.891904	0.318975
4	1.259479	0.589387	0.050099	0.025930	0.207630	1.080527
4	2.916669	0.480707	0.510011	0.632451	0.205035	0.171446
4	0.989790	0.362627	1.331285	2.631822	1.186499	0.536918
4	0.464834	1.620333	0.165125	0.845528	0.196198	0.527763
4	0.269354	0.846776	0.127222	0.962071	0.776623	0.525284
4	0.374980	0.489207	0.362018	0.066422	0.387897	1.026999
4	0.874423	1.726732	1.687910	0.150745	0.640836	0.069133
5	2.015850	0.063975	1.040171	1.685345	1.248120	0.217117
6	0.141001	0.108144	0.222070	0.790033	0.215690	0.213467
6	0.075175	0.919507	0.429505	0.033958	0.167171	0.547881
6	0.024049	1.167011	0.026838	0.224428	0.501830	0.052797
7	0.045636	0.639376	1.894091	1.040601	0.927983	0.434555
8	1.462335	0.588381	0.090096	2.354341	0.474313	2.248977
8	0.168641	0.668162	1.668246	0.555325	0.819000	0.771848
8	2.038360	1.075442	2.957172	3.116508	2.005846	1.741071
8	0.299415	1.756193	0.866621	1.132094	0.853009	2.623955
9	0.456557	1.009164	0.126507	0.310110	2.070851	0.189708
9	0.934048	0.736423	0.622549	0.288426	0.254963	0.663172
9	1.228516	1.142608	1.264332	2.104392	0.998106	1.538440
10	1.218324	0.410072	2.989052	2.449540	0.294594	0.974875
11	2.337394	4.955192	0.681686	2.821298	0.240162	3.647356
12	0.491768	2.288477	1.340897	0.339334	0.886055	0.943469
13	0.603883	2.854795	1.892201	1.827817	1.411555	0.370138
14	0.640251	6.232953	0.165921	1.282673	0.686415	0.669432
15	0.409554	0.101731	0.532795	0.959261	0.927696	1.659563
16	0.073353	1.405269	0.116191	1.049078	0.905068	2.566130
17	1.118709	2.445619	0.319927	0.519860	2.419578	1.814318
18	0.695214	0.520983	0.074500	0.427748	1.494395	0.404465
19	0.444063	2.499281	0.840344	0.098346	1.559244	2.130501
20	1.780956	3.327599	1.541093	1.653605	0.822029	0.231321
21	0.479762	1.357844	0.081604	0.202786	0.353723	0.362623
22	5.901329	1.091492	0.027112	0.125752	0.304369	0.537393
23	0.136172	1.002838	0.092735	2.331677	0.702193	1.001870
24	0.203455	1.054003	0.002240	0.620323	0.643219	0.679382
25	0.632904	0.807942	0.003866	0.286479	2.190827	0.977384
26	0.118806	1.280075	0.570623	0.523763	0.345933	0.203622
27	0.697264	0.187526	1.784856	0.015967	0.944230	2.896860
28	0.333336	1.568941	1.162090	0.020204	0.304479	1.000635
29	0.990765	0.222791	0.681858	1.152257	0.615415	1.597671
30	0.539510	0.299597	1.045060	0.691099	3.280035	0.775478
31	0.280709	0.045281	0.595772	0.133987	2.924090	0.412227
32	0.244455	0.931714	0.418424	2.790148	0.105579	1.126224
33	0.487673	0.110576	0.642132	0.118769	3.157774	1.544099
34	0.800973	3.255564	0.654876	0.311028	2.723649	1.716174
35	0.166815	0.446511	0.967569	1.552248	0.969159	0.796135
36	0.103188	0.326558	0.716051	2.102122	1.489943	0.740796
37	0.989887	0.325976	1.253532	0.518678	4.991503	0.134245
38	0.788459	2.368374	2.480119	3.202081	0.661707	3.235143
39	0.065481	0.196367	1.444694	4.968306	0.282617	0.313876
40	0.383613	2.091554	2.057774	1.285774	0.112542	2.381294
41	0.616834	0.606898	0.333548	0.002455	3.634317	0.140991
42	0.866717	1.683525	2.271646	1.022945	0.499050	0.421891
43	0.270617	1.365603	2.130138	0.658033	1.325956	0.581870
44	0.112465	1.266591	0.741999	0.624332	0.314163	2.567404
45	0.062086	1.402894	0.857945	0.600741	0.573274	0.052380
46	0.908712	0.359324	2.643286	0.024899	0.760608	0.219743
47	0.802717	0.211792	1.972660	1.376710	2.296851	1.462678
48	0.996109	1.024006	0.268162	2.171905	2.646679	2.260125
49	1.091424	0.374044	0.179860	0.161140	0.922198	1.403216
50	4.230624	0.028368	0.257565	1.368061	0.513916	1.709420
51	0.058687	0.834404	11.772262	16.677012	9.107948	7.039832
52	4.471349	0.309045	3.439180	2.909272	11.820648	10.623712
53	3.199968	4.173288	1.528367	12.479280	5.975808	6.846984
54	4.784849	2.347819	2.693875	5.114654	12.320358	4.439899
55	3.403919	4.682800	1.105732	3.123170	17.464916	6.316461
56	2.803016	8.010665	1.434476	1.956016	5.823436	1.044573
57	1.997821	3.131744	0.797538	4.695511	2.887860	9.122176
58	2.965796	17.262739	6.031783	7.657879	0.477886	11.116756
59	13.400148	6.185322	1.850200	4.335940	0.509201	3.193936
60	1.073109	0.721794	15.367084	0.212061	1.329936	4.691047
61	30.112325	0.884900	8.598578	1.387750	2.725806	3.310247
62	1.756402	2.991250	2.955928	18.408486	5.266699	3.780507
63	8.280816	0.639209	1.065625	2.737854	9.881913	7.804389
64	10.235942	4.650547	10.515110	0.240920	6.239849	2.158473
65	8.294788	16.750882	0.022994	2.637730	3.288174	5.969732
66	2.202208	0.388458	2.993459	0.051131	5.003060	1.612768
67	3.353524	10.063138	6.284825	8.569679	7.976048	2.429960
68	0.303020	12.475498	1.583447	7.339410	2.638850	2.409703
69	7.254789	1.242801	4.284393	0.097792	0.438405	10.338029
70	2.090763	2.701539	0.729024	8.590188	9.972012	1.596926
71	5.918648	5.161532	16.362693	11.275745	0.224764	1.135807
72	2.547812	3.051766	16.084627	2.992730	3.530829	3.687850
73	5.277070	16.261427	2.746231	0.868139	5.185268	13.194596
74	6.898958	13.295003	2.437871	1.159879	2.330588	9.707259
75	4.200436	4.857760	0.583611	3.419156	0.904500	3.026581
76	3.375435	19.638045	13.081646	5.543597	8.534502	2.302583
77	0.669725	3.469930	1.212877	0.256163	17.636461	5.262749
78	0.319289	7.061547	1.975929	4.478707	0.611762	0.618998
79	4.375634	4.990181	4.992311	2.132958	0.875445	6.080856
80	2.271631	1.356045	4.082556	24.992685	10.016422	1.908434
81	0.545935	0.005100	1.651740	1.175401	0.742320	2.329992
82	2.831581	1.952082	0.283840	3.433185	8.887073	6.717746
83	0.683060	3.455053	4.894012	7.623054	0.465476	6.711795
84	2.948347	1.948996	0.395625	12.521638	2.073205	0.838820
85	2.039970	6.751984	1.804900	12.195979	14.077746	6.943081
86	1.984145	4.511233	1.031856	15.662296	8.183053	2.134164
87	0.630145	3.556888	0.329002	7.245102	9.549878	3.640470
88	2.484352	2.743713	13.029468	5.359169	8.204249	2.298133
89	3.506921	7.628930	0.895439	1.490425	1.774754	4.622658
90	3.265164	4.264527	1.098822	1.223439	1.948400	0.878711
91	0.738109	5.551978	1.634573	3.106890	4.927355	2.288916
92	4.785259	6.952736	2.545524	9.144514	3.937196	11.993124
93	0.196986	5.326960	6.558953	1.632480	6.185924	0.896255
94	0.448749	0.051797	1.750485	1.063738	2.476540	7.934026
95	9.201230	0.909174	2.056842	1.437368	0.298078	0.044734
96	1.066551	3.064791	13.999468	3.805683	2.973948	2.300807
97	7.354716	4.337407	5.977439	4.887644	0.821173	8.332628
98	0.482972	5.244464	2.633851	5.047711	2.247038	1.707172
99	4.279510	3.178926	2.494051	5.453655	1.576338	12.080138
100	3.540606	1.740601	1.851419	9.450617	6.151635	3.233256
