run	NeNull.state0	NeNull.state1	NeNull.state2	GrowthRate.state0	GrowthRate.state1	GrowthRate.state2	f_migrationRatesSkyline.state0_to_state1	f_migrationRatesSkyline.state0_to_state2	f_migrationRatesSkyline.state1_to_state0	f_migrationRatesSkyline.state1_to_state2	f_migrationRatesSkyline.state2_to_state0	f_migrationRatesSkyline.state2_to_state1
1	1.118311	-0.005041	-0.255187	-0.338547	-0.866282	-0.403693	-1.734282	-2.249571	-0.413483	-0.939620	-1.744911	1.005591
2	-0.532949	-0.650901	1.289957	-0.441723	-0.350868	-0.365949	-1.749647	-1.441486	0.337444	0.233104	-2.202104	-1.116026
3	-0.500118	1.777051	-0.599427	-0.265804	-0.912071	-0.338232	-1.719300	-1.346502	-1.880160	0.453091	-0.053906	-1.629256
4	-0.784336	-1.716937	-0.653883	-0.940761	-0.815848	-0.441382	-1.173076	-2.179259	1.913658	-3.127554	0.154864	0.514672
5	-1.104384	0.754130	1.140027	-0.345091	-0.693019	-0.506711	-0.272487	-3.130379	-0.333742	0.685839	0.732798	-0.163954
6	-0.903439	-0.073931	-0.848174	-0.219446	-0.459532	-0.648592	-0.930223	-0.666187	-2.417470	-3.145027	-0.972531	-1.368583
7	0.012367	-0.183925	-1.113920	-1.012752	-0.207674	-0.281857	-0.727177	-0.447566	-2.052869	-1.336027	0.034634	0.095340
8	0.671886	1.321406	1.437540	-0.569264	-0.455836	0.030934	-1.108284	-0.202970	-1.913512	-0.260204	0.261700	-1.721773
9	0.847345	-0.329602	-0.283240	-0.233536	-0.651664	-0.525448	-1.556970	0.149951	-0.719671	0.319179	-2.592657	-1.976006
10	-1.985073	0.045519	1.054889	-0.462050	-0.562002	-0.236606	-1.284834	-1.137669	-2.402445	-1.533147	-1.077072	-0.670348
11	-0.231289	-0.049311	-2.464163	-0.616253	-0.813026	-0.559625	-1.768727	1.138253	-2.147651	-1.297650	-0.748696	-0.643188
12	1.496382	0.394354	-1.077950	-0.917793	-0.332772	-0.455742	-0.498911	-0.533547	-0.490893	-0.487497	-1.177737	0.050152
13	0.960972	0.622715	1.646885	-0.430112	-0.652254	-0.684096	-1.782166	-0.130326	0.768229	-2.304323	-0.552229	-0.600520
14	-0.309576	-1.668919	-1.672378	-0.290176	-0.516130	-0.266549	-0.307465	-0.772695	1.516116	-1.992261	1.301550	0.312272
15	-1.119902	1.116483	-0.585369	-0.618533	-0.406023	-0.660237	-0.229938	-1.480639	-1.341847	-1.044823	-2.175089	0.120343
16	1.488135	0.162957	-0.134570	-0.282112	-0.628783	-0.900615	-1.427677	-0.089395	-0.214172	-0.833986	-0.481360	-1.459899
17	0.829574	-1.408997	-0.213599	-0.476719	-0.590341	-0.356528	-2.177215	-2.801030	-0.019284	0.462265	-0.494209	-0.800851
18	-0.302573	1.979572	0.762755	-0.460406	-0.327765	-0.828442	-0.910439	-1.288172	-0.899390	-3.822704	-0.350105	-0.520673
19	0.446571	-0.474350	0.783880	-0.693529	-0.334638	-0.517040	-1.888078	1.738217	-1.220676	-2.018954	-0.810867	-1.948224
20	-0.955653	0.505760	0.756001	-0.654371	-0.359758	-0.288290	-1.767409	-1.668276	-0.088059	-2.068324	-0.098759	-1.197096
21	-0.106737	-1.339995	-0.243951	-0.312052	-0.338750	-0.497557	-0.963156	-2.037415	0.534050	-1.872985	0.092106	-1.459774
22	0.678146	1.179925	0.251450	-0.438787	-0.491709	-0.698265	-1.937117	-0.972135	-0.729347	-1.321523	-0.472297	-1.023275
23	-0.592393	-0.123982	0.086971	-0.856776	-0.702210	-0.077871	-3.369990	-1.449303	-2.156886	-0.618663	-0.759772	-0.388401
24	-0.009869	1.913516	-1.887791	-0.538758	-0.416218	-0.489065	-3.341666	-3.404677	0.558571	-1.053367	-1.497354	-2.309470
25	1.354611	-0.309286	1.320242	-0.737367	-0.377785	-0.591942	-1.713512	-0.270670	-1.883192	-1.220425	-0.364103	-0.845694
26	1.397792	0.263491	0.877596	-0.546863	-0.783860	-0.612266	-0.559335	-0.012369	0.138881	-0.433073	-1.445413	-1.145472
27	1.042538	-0.032974	1.396038	-0.469328	-0.619315	-0.249562	-1.528631	-2.280143	-1.429569	-2.434339	-0.318473	-1.699599
28	-1.150180	-0.623231	-1.829763	-0.638827	-0.728230	-0.237230	0.020055	-0.018304	-0.744592	-2.307084	-0.785629	-2.189902
