run	Capacity.state0	Capacity.state1	Capacity.state2	CarryingProportion.state0	CarryingProportion.state1	CarryingProportion.state2	GrowthRate.state0	GrowthRate.state1	GrowthRate.state2	f_migrationRatesSkyline.state0_to_state1	f_migrationRatesSkyline.state0_to_state2	f_migrationRatesSkyline.state1_to_state0	f_migrationRatesSkyline.state1_to_state2	f_migrationRatesSkyline.state2_to_state0	f_migrationRatesSkyline.state2_to_state1
1	1.118311	-0.005041	-0.255187	0.398547	0.820398	0.376833	-0.338547	-0.866282	-0.403693	2.767239	0.245082	0.188906	0.163035	0.023864	0.103745
2	1.289957	0.419663	1.337444	0.415896	0.363143	0.342417	-0.365949	-0.633237	-0.662725	0.355714	0.415817	0.678519	1.920681	0.027523	0.001887
3	0.946094	-0.719300	-1.766747	0.516643	0.467406	0.940988	-0.649857	-0.336526	-0.720040	0.055411	1.199614	0.228601	0.009004	1.429736	0.385264
4	-0.173076	0.617424	1.514672	0.307861	0.302793	0.695480	-0.676468	0.228415	-0.211284	1.527089	0.743254	0.215251	0.001951	0.268956	0.312012
5	-2.130379	1.685839	-0.268387	0.775833	0.900480	0.473788	-0.318122	-0.072687	-0.290988	0.368953	0.509030	1.079423	0.853250	0.012350	1.239259
6	3.191543	0.778679	-1.589792	0.575101	0.535794	0.877999	-0.416547	-1.036257	-0.322227	0.013740	0.126242	0.185626	0.234946	0.004268	0.030067
7	-1.104083	-0.254819	0.202818	0.318933	0.786172	0.881028	-0.350505	-0.023486	-0.386273	0.299108	0.400969	0.790864	0.344529	0.661249	0.266820
8	0.933546	-0.114255	-0.099844	0.253948	0.915603	0.769942	-0.802339	-0.665119	-1.029076	1.870379	0.387235	0.770980	0.298075	1.911802	1.172221
9	-0.500426	3.758166	1.616346	0.323898	0.508802	0.615125	-0.727447	-0.276705	-0.305584	0.721197	0.984871	1.394101	1.335527	0.460553	0.358887
10	-1.130124	-0.250767	0.726583	0.533530	0.737938	0.432999	-0.617862	-1.005824	-0.324476	0.127708	0.122513	0.132898	1.024953	1.245599	0.753834
11	-0.339184	1.073670	-0.466983	0.912844	0.842766	0.638945	-0.303945	-0.811681	-0.316898	0.638443	0.869014	0.078119	0.087137	0.297736	0.659514
12	-0.645699	-0.927449	-0.146026	0.694052	0.357753	0.862555	-0.961347	-0.451347	-0.796978	0.187425	0.054217	0.437988	0.761719	0.348841	0.135172
13	0.854784	0.578154	1.328094	0.530474	0.575583	0.751635	-0.162328	-0.141674	-0.808441	0.543482	1.681899	0.572649	0.364985	0.235506	0.552107
14	-0.505730	-0.597075	-0.276229	0.821366	0.806296	0.342518	-0.445186	-0.458330	-0.719477	0.304669	1.489267	0.206180	1.372270	0.350612	0.674706
15	-0.844106	0.007271	-1.433936	0.494985	0.658671	0.259751	-0.749357	-0.305011	-0.265581	0.835711	0.204643	0.448476	0.286316	1.491002	0.102257
16	0.585840	-1.095085	-0.064048	0.769514	0.766546	0.710532	-0.446320	-0.698547	-0.850802	0.024869	0.072231	0.299268	1.185382	0.795398	0.411819
17	-1.230471	0.272967	-0.807794	0.876403	0.351394	0.354305	-0.285317	-0.085317	-0.013556	0.844823	0.746322	0.024763	0.935657	0.087641	0.070669
18	0.080258	0.152247	-0.171134	0.623031	0.396730	0.889317	-0.330506	-0.650502	-0.104492	0.201807	0.852199	0.271354	0.549892	1.016542	2.614556
19	1.969108	0.458664	0.050381	0.339391	0.850162	0.709785	-1.164579	-0.508145	-0.267290	1.183184	0.600258	0.864666	0.706311	1.114207	0.352073
20	-1.222861	0.236638	-0.588823	0.765326	0.410399	0.670687	-0.950499	-0.372864	0.029590	0.601574	0.467054	0.185653	0.371899	0.076508	0.190361
