run	avg_migration	samples	random_r0	R0.state0	R0.state1	f_migrationRatesSkyline.state0_to_state1	f_migrationRatesSkyline.state1_to_state0	popSize0	popSize1	samplingProportion0	samplingProportion1
1	5.000000	250.000000	0	1.500000	1.500000	9.594923	5.981138	19032.000000	34883.000000	1.000000	1.000000
2	5.000000	250.000000	0	1.500000	1.500000	1.998900	17.988326	56089.000000	14468.000000	1.000000	1.000000
3	5.000000	250.000000	0	1.500000	1.500000	12.322920	0.556856	17398.000000	87875.000000	1.000000	1.000000
4	5.000000	250.000000	0	1.500000	1.500000	0.903860	1.880739	75139.000000	98891.000000	1.000000	1.000000
5	5.000000	250.000000	0	1.500000	1.500000	6.227876	6.127444	2427.000000	68044.000000	1.000000	1.000000
6	5.000000	250.000000	0	1.500000	1.500000	1.785101	2.644052	41698.000000	69592.000000	1.000000	1.000000
7	5.000000	250.000000	0	1.500000	1.500000	0.507939	2.667444	14357.000000	80835.000000	1.000000	1.000000
8	5.000000	250.000000	0	1.500000	1.500000	2.360652	0.620417	35215.000000	27357.000000	1.000000	1.000000
9	5.000000	250.000000	0	1.500000	1.500000	3.993515	0.259155	41109.000000	24084.000000	1.000000	1.000000
10	5.000000	250.000000	0	1.500000	1.500000	5.146321	0.605518	62524.000000	2074.000000	1.000000	1.000000
11	5.000000	250.000000	0	1.500000	1.500000	13.590490	1.806154	75510.000000	92340.000000	1.000000	1.000000
12	5.000000	250.000000	0	1.500000	1.500000	3.091766	0.753952	84282.000000	12855.000000	1.000000	1.000000
13	5.000000	250.000000	0	1.500000	1.500000	1.071506	7.284136	86422.000000	74838.000000	1.000000	1.000000
14	5.000000	250.000000	0	1.500000	1.500000	1.691447	7.442536	1749.000000	7661.000000	1.000000	1.000000
15	5.000000	250.000000	0	1.500000	1.500000	0.152193	2.711935	24364.000000	49630.000000	1.000000	1.000000
16	5.000000	250.000000	0	1.500000	1.500000	2.820680	2.501659	98867.000000	58184.000000	1.000000	1.000000
17	5.000000	250.000000	0	1.500000	1.500000	2.312420	4.970124	75399.000000	7120.000000	1.000000	1.000000
18	5.000000	250.000000	0	1.500000	1.500000	13.593451	6.672367	77331.000000	90827.000000	1.000000	1.000000
19	5.000000	250.000000	0	1.500000	1.500000	0.440844	2.929064	39305.000000	48856.000000	1.000000	1.000000
19	5.000000	250.000000	0	1.500000	1.500000	10.344308	8.744774	50813.000000	2641.000000	1.000000	1.000000
20	5.000000	250.000000	0	1.500000	1.500000	5.324872	1.056750	58410.000000	87943.000000	1.000000	1.000000
21	5.000000	250.000000	0	1.500000	1.500000	2.561548	3.564163	59551.000000	43650.000000	1.000000	1.000000
22	5.000000	250.000000	0	1.500000	1.500000	14.602264	2.454860	68067.000000	91900.000000	1.000000	1.000000
23	5.000000	250.000000	0	1.500000	1.500000	2.325469	2.769435	58889.000000	75127.000000	1.000000	1.000000
24	5.000000	250.000000	0	1.500000	1.500000	4.810329	3.982837	40447.000000	32079.000000	1.000000	1.000000
25	5.000000	250.000000	0	1.500000	1.500000	1.130497	5.345079	90432.000000	66440.000000	1.000000	1.000000
26	5.000000	250.000000	0	1.500000	1.500000	3.279145	1.552076	57101.000000	46838.000000	1.000000	1.000000
27	5.000000	250.000000	0	1.500000	1.500000	0.667876	1.042145	57164.000000	16516.000000	1.000000	1.000000
28	5.000000	250.000000	0	1.500000	1.500000	6.791095	0.473556	19699.000000	50208.000000	1.000000	1.000000
29	5.000000	250.000000	0	1.500000	1.500000	11.415518	7.269310	47975.000000	15690.000000	1.000000	1.000000
30	5.000000	250.000000	0	1.500000	1.500000	1.208473	3.275869	32774.000000	87355.000000	1.000000	1.000000
31	5.000000	250.000000	0	1.500000	1.500000	2.143891	11.576153	61218.000000	80061.000000	1.000000	1.000000
31	5.000000	250.000000	0	1.500000	1.500000	1.137084	5.316745	78383.000000	99051.000000	1.000000	1.000000
32	5.000000	250.000000	0	1.500000	1.500000	3.025033	0.030528	13975.000000	35892.000000	1.000000	1.000000
33	5.000000	250.000000	0	1.500000	1.500000	1.848496	1.835952	44469.000000	58366.000000	1.000000	1.000000
34	5.000000	250.000000	0	1.500000	1.500000	3.381291	14.329714	79961.000000	30084.000000	1.000000	1.000000
35	5.000000	250.000000	0	1.500000	1.500000	0.207057	3.072125	3716.000000	71084.000000	1.000000	1.000000
36	5.000000	250.000000	0	1.500000	1.500000	2.280214	11.081176	69831.000000	76738.000000	1.000000	1.000000
37	5.000000	250.000000	0	1.500000	1.500000	19.995360	12.730492	46129.000000	11777.000000	1.000000	1.000000
38	5.000000	250.000000	0	1.500000	1.500000	3.732698	3.689964	40538.000000	90516.000000	1.000000	1.000000
39	5.000000	250.000000	0	1.500000	1.500000	0.250187	29.015876	79698.000000	91569.000000	1.000000	1.000000
40	5.000000	250.000000	0	1.500000	1.500000	1.561237	1.704553	40386.000000	25360.000000	1.000000	1.000000
41	5.000000	250.000000	0	1.500000	1.500000	0.088695	5.846452	53598.000000	31789.000000	1.000000	1.000000
42	5.000000	250.000000	0	1.500000	1.500000	0.576948	1.664243	52444.000000	32935.000000	1.000000	1.000000
43	5.000000	250.000000	0	1.500000	1.500000	2.751680	23.362655	51968.000000	91682.000000	1.000000	1.000000
44	5.000000	250.000000	0	1.500000	1.500000	7.394235	0.415786	23117.000000	31780.000000	1.000000	1.000000
45	5.000000	250.000000	0	1.500000	1.500000	2.773721	7.128178	6167.000000	23266.000000	1.000000	1.000000
46	5.000000	250.000000	0	1.500000	1.500000	2.601244	1.011590	90205.000000	59762.000000	1.000000	1.000000
46	5.000000	250.000000	0	1.500000	1.500000	0.137948	8.919454	82511.000000	63445.000000	1.000000	1.000000
47	5.000000	250.000000	0	1.500000	1.500000	3.910931	3.789726	1583.000000	75948.000000	1.000000	1.000000
48	5.000000	250.000000	0	1.500000	1.500000	10.404311	3.840886	50699.000000	67547.000000	1.000000	1.000000
48	5.000000	250.000000	0	1.500000	1.500000	1.878501	1.983990	91521.000000	64613.000000	1.000000	1.000000
49	5.000000	250.000000	0	1.500000	1.500000	6.470951	2.736587	67337.000000	35566.000000	1.000000	1.000000
50	5.000000	250.000000	0	1.500000	1.500000	5.198866	1.067833	76844.000000	31209.000000	1.000000	1.000000
51	5.000000	250.000000	0	1.500000	1.500000	18.128982	4.876455	67619.000000	80077.000000	1.000000	1.000000
52	5.000000	250.000000	0	1.500000	1.500000	0.902492	5.945126	92383.000000	70752.000000	1.000000	1.000000
53	5.000000	250.000000	0	1.500000	1.500000	9.595074	4.529204	19280.000000	64567.000000	1.000000	1.000000
54	5.000000	250.000000	0	1.500000	1.500000	1.562563	6.095732	42843.000000	78327.000000	1.000000	1.000000
55	5.000000	250.000000	0	1.500000	1.500000	4.969178	0.501141	49664.000000	13650.000000	1.000000	1.000000
56	5.000000	250.000000	0	1.500000	1.500000	11.194115	1.194130	18127.000000	57454.000000	1.000000	1.000000
57	5.000000	250.000000	0	1.500000	1.500000	7.648118	2.979311	72430.000000	18066.000000	1.000000	1.000000
58	5.000000	250.000000	0	1.500000	1.500000	0.063774	1.663892	877.000000	93423.000000	1.000000	1.000000
59	5.000000	250.000000	0	1.500000	1.500000	1.434250	1.304730	40485.000000	69882.000000	1.000000	1.000000
60	5.000000	250.000000	0	1.500000	1.500000	0.621989	5.985040	29027.000000	14266.000000	1.000000	1.000000
61	5.000000	250.000000	0	1.500000	1.500000	5.310937	4.262495	22537.000000	46990.000000	1.000000	1.000000
62	5.000000	250.000000	0	1.500000	1.500000	10.130794	2.106225	90976.000000	60745.000000	1.000000	1.000000
63	5.000000	250.000000	0	1.500000	1.500000	3.290251	0.294704	84869.000000	25538.000000	1.000000	1.000000
64	5.000000	250.000000	0	1.500000	1.500000	12.773563	0.053586	94642.000000	1389.000000	1.000000	1.000000
65	5.000000	250.000000	0	1.500000	1.500000	0.374431	10.036959	49408.000000	85741.000000	1.000000	1.000000
66	5.000000	250.000000	0	1.500000	1.500000	11.342873	6.117211	1902.000000	71736.000000	1.000000	1.000000
67	5.000000	250.000000	0	1.500000	1.500000	2.171093	4.501067	32521.000000	17674.000000	1.000000	1.000000
68	5.000000	250.000000	0	1.500000	1.500000	4.902933	2.260378	62148.000000	25577.000000	1.000000	1.000000
69	5.000000	250.000000	0	1.500000	1.500000	6.099007	1.064246	49048.000000	85607.000000	1.000000	1.000000
70	5.000000	250.000000	0	1.500000	1.500000	2.481071	6.382881	23206.000000	1869.000000	1.000000	1.000000
71	5.000000	250.000000	0	1.500000	1.500000	1.664996	9.668999	69005.000000	25712.000000	1.000000	1.000000
72	5.000000	250.000000	0	1.500000	1.500000	1.731385	2.297126	65007.000000	17409.000000	1.000000	1.000000
73	5.000000	250.000000	0	1.500000	1.500000	9.115917	3.492918	26557.000000	84530.000000	1.000000	1.000000
74	5.000000	250.000000	0	1.500000	1.500000	1.990474	0.756144	12912.000000	47323.000000	1.000000	1.000000
75	5.000000	250.000000	0	1.500000	1.500000	4.242723	3.789326	85072.000000	75236.000000	1.000000	1.000000
76	5.000000	250.000000	0	1.500000	1.500000	2.360666	11.150909	28820.000000	6573.000000	1.000000	1.000000
77	5.000000	250.000000	0	1.500000	1.500000	17.790862	3.215413	35390.000000	23305.000000	1.000000	1.000000
78	5.000000	250.000000	0	1.500000	1.500000	0.587553	2.964088	24929.000000	91146.000000	1.000000	1.000000
79	5.000000	250.000000	0	1.500000	1.500000	2.800292	17.353208	63280.000000	98101.000000	1.000000	1.000000
80	5.000000	250.000000	0	1.500000	1.500000	4.979377	9.459521	72825.000000	47962.000000	1.000000	1.000000
81	5.000000	250.000000	0	1.500000	1.500000	18.295927	4.359741	50599.000000	96610.000000	1.000000	1.000000
82	5.000000	250.000000	0	1.500000	1.500000	1.134740	4.591231	76893.000000	29384.000000	1.000000	1.000000
83	5.000000	250.000000	0	1.500000	1.500000	20.499032	9.399545	65353.000000	40564.000000	1.000000	1.000000
84	5.000000	250.000000	0	1.500000	1.500000	13.272539	16.128406	35242.000000	93756.000000	1.000000	1.000000
85	5.000000	250.000000	0	1.500000	1.500000	5.568202	6.476610	22402.000000	67307.000000	1.000000	1.000000
86	5.000000	250.000000	0	1.500000	1.500000	12.883539	3.214153	95137.000000	81344.000000	1.000000	1.000000
87	5.000000	250.000000	0	1.500000	1.500000	5.604792	2.011376	32918.000000	89037.000000	1.000000	1.000000
88	5.000000	250.000000	0	1.500000	1.500000	1.827458	16.468985	43331.000000	76895.000000	1.000000	1.000000
89	5.000000	250.000000	0	1.500000	1.500000	3.346557	2.511669	43519.000000	84846.000000	1.000000	1.000000
90	5.000000	250.000000	0	1.500000	1.500000	7.239320	14.888245	42454.000000	86450.000000	1.000000	1.000000
91	5.000000	250.000000	0	1.500000	1.500000	7.147867	3.603201	94417.000000	61586.000000	1.000000	1.000000
